                                                                                     List of relations
 Schema |                              Name                               | Type  |     Owner     |             Table             | Persistence | Access method |    Size    | Description 
 public | idx_change_approvals_decision                                   | index | johnhoinville | change_approvals              | permanent   | btree         | 8192 bytes | 
 public | idx_change_approvals_request                                    | index | johnhoinville | change_approvals              | permanent   | btree         | 8192 bytes | 
 public | idx_change_escalations_escalated_to                             | index | johnhoinville | change_approval_escalations   | permanent   | btree         | 8192 bytes | 
 public | idx_change_escalations_request                                  | index | johnhoinville | change_approval_escalations   | permanent   | btree         | 8192 bytes | 
 public | idx_change_escalations_status                                   | index | johnhoinville | change_approval_escalations   | permanent   | btree         | 8192 bytes | 
 public | idx_change_requests_pending_deadline                            | index | johnhoinville | change_approval_requests      | permanent   | btree         | 8192 bytes | 
 public | idx_change_requests_requested_by                                | index | johnhoinville | change_approval_requests      | permanent   | btree         | 8192 bytes | 
 public | idx_change_requests_session                                     | index | johnhoinville | change_approval_requests      | permanent   | btree         | 8192 bytes | 
 public | idx_change_requests_status                                      | index | johnhoinville | change_approval_requests      | permanent   | btree         | 8192 bytes | 
 public | idx_change_requests_test_instance                               | index | johnhoinville | change_approval_requests      | permanent   | btree         | 8192 bytes | 
 public | idx_change_requests_urgency                                     | index | johnhoinville | change_approval_requests      | permanent   | btree         | 8192 bytes | 
 public | idx_coverage_metrics_created_at                                 | index | johnhoinville | coverage_metrics              | permanent   | btree         | 8192 bytes | 
 public | idx_coverage_metrics_timestamp                                  | index | johnhoinville | coverage_metrics              | permanent   | btree         | 8192 bytes | 
 public | idx_crawler_auth_sessions_active                                | index | johnhoinville | crawler_auth_sessions         | permanent   | btree         | 16 kB      | 
 public | idx_crawler_auth_sessions_crawler_id                            | index | johnhoinville | crawler_auth_sessions         | permanent   | btree         | 16 kB      | 
 public | idx_crawler_discovered_pages_page_type                          | index | johnhoinville | crawler_discovered_pages      | permanent   | btree         | 16 kB      | 
 public | idx_crawler_discovered_pages_run_id                             | index | johnhoinville | crawler_discovered_pages      | permanent   | btree         | 104 kB     | 
 public | idx_crawler_discovered_pages_testing                            | index | johnhoinville | crawler_discovered_pages      | permanent   | btree         | 104 kB     | 
 public | idx_crawler_discovered_pages_url                                | index | johnhoinville | crawler_discovered_pages      | permanent   | btree         | 832 kB     | 
 public | idx_crawler_metrics_run_id                                      | index | johnhoinville | crawler_metrics               | permanent   | btree         | 8192 bytes | 
 public | idx_crawler_runs_crawler_id                                     | index | johnhoinville | crawler_runs                  | permanent   | btree         | 16 kB      | 
 public | idx_crawler_runs_status                                         | index | johnhoinville | crawler_runs                  | permanent   | btree         | 16 kB      | 
 public | idx_discovered_pages_discovery_id                               | index | johnhoinville | discovered_pages              | permanent   | btree         | 16 kB      | 
 public | idx_discovered_pages_discovery_id_cascade                       | index | johnhoinville | discovered_pages              | permanent   | btree         | 16 kB      | 
 public | idx_discovered_pages_page_type                                  | index | johnhoinville | discovered_pages              | permanent   | btree         | 16 kB      | 
 public | idx_discovered_pages_url                                        | index | johnhoinville | discovered_pages              | permanent   | btree         | 16 kB      | 
 public | idx_evidence_test_instance                                      | index | johnhoinville | evidence_repository           | permanent   | btree         | 8192 bytes | 
 public | idx_evidence_type                                               | index | johnhoinville | evidence_repository           | permanent   | btree         | 8192 bytes | 
 public | idx_frontend_test_runs_session_id                               | index | postgres      | frontend_test_runs            | permanent   | btree         | 16 kB      | 
 public | idx_frontend_test_runs_status                                   | index | postgres      | frontend_test_runs            | permanent   | btree         | 16 kB      | 
 public | idx_frontend_test_runs_test_suite                               | index | postgres      | frontend_test_runs            | permanent   | btree         | 16 kB      | 
 public | idx_manual_results_page_id                                      | index | johnhoinville | manual_test_results           | permanent   | btree         | 8192 bytes | 
 public | idx_manual_results_requirement                                  | index | johnhoinville | manual_test_results           | permanent   | btree         | 8192 bytes | 
 public | idx_manual_results_result                                       | index | johnhoinville | manual_test_results           | permanent   | btree         | 8192 bytes | 
 public | idx_manual_results_session_id                                   | index | johnhoinville | manual_test_results           | permanent   | btree         | 8192 bytes | 
 public | idx_manual_test_evidence_manual_result_id                       | index | johnhoinville | manual_test_evidence          | permanent   | btree         | 8192 bytes | 
 public | idx_manual_test_evidence_page_id                                | index | johnhoinville | manual_test_evidence          | permanent   | btree         | 8192 bytes | 
 public | idx_manual_test_evidence_requirement_id                         | index | johnhoinville | manual_test_evidence          | permanent   | btree         | 8192 bytes | 
 public | idx_manual_test_evidence_session_id                             | index | johnhoinville | manual_test_evidence          | permanent   | btree         | 8192 bytes | 
 public | idx_manual_test_evidence_uploaded_by                            | index | johnhoinville | manual_test_evidence          | permanent   | btree         | 8192 bytes | 
 public | idx_manual_test_results_auth_config                             | index | johnhoinville | manual_test_results           | permanent   | btree         | 8192 bytes | 
 public | idx_manual_test_results_auth_role                               | index | johnhoinville | manual_test_results           | permanent   | btree         | 8192 bytes | 
 public | idx_manual_workflow_tasks_assigned                              | index | postgres      | manual_workflow_tasks         | permanent   | btree         | 8192 bytes | 
 public | idx_manual_workflow_tasks_criterion                             | index | postgres      | manual_workflow_tasks         | permanent   | btree         | 8192 bytes | 
 public | idx_manual_workflow_tasks_priority                              | index | postgres      | manual_workflow_tasks         | permanent   | btree         | 8192 bytes | 
 public | idx_manual_workflow_tasks_session                               | index | postgres      | manual_workflow_tasks         | permanent   | btree         | 8192 bytes | 
 public | idx_manual_workflow_tasks_status                                | index | postgres      | manual_workflow_tasks         | permanent   | btree         | 8192 bytes | 
 public | idx_project_roles_project_id                                    | index | postgres      | project_roles                 | permanent   | btree         | 16 kB      | 
 public | idx_project_roles_role_name                                     | index | postgres      | project_roles                 | permanent   | btree         | 16 kB      | 
 public | idx_projects_created_at                                         | index | johnhoinville | projects                      | permanent   | btree         | 16 kB      | 
 public | idx_projects_status                                             | index | johnhoinville | projects                      | permanent   | btree         | 16 kB      | 
 public | idx_requirement_status_overrides_requirement_id                 | index | johnhoinville | requirement_status_overrides  | permanent   | btree         | 8192 bytes | 
 public | idx_review_queue_assigned_reviewer                              | index | johnhoinville | automated_result_review_queue | permanent   | btree         | 8192 bytes | 
 public | idx_review_queue_due_date                                       | index | johnhoinville | automated_result_review_queue | permanent   | btree         | 8192 bytes | 
 public | idx_review_queue_priority                                       | index | johnhoinville | automated_result_review_queue | permanent   | btree         | 8192 bytes | 
 public | idx_review_queue_status                                         | index | johnhoinville | automated_result_review_queue | permanent   | btree         | 8192 bytes | 
 public | idx_section_508_section_number                                  | index | johnhoinville | section_508_requirements      | permanent   | btree         | 16 kB      | 
 public | idx_site_discovery_project_id                                   | index | johnhoinville | site_discovery                | permanent   | btree         | 16 kB      | 
 public | idx_site_discovery_status                                       | index | johnhoinville | site_discovery                | permanent   | btree         | 16 kB      | 
 public | idx_site_discovery_status_age                                   | index | johnhoinville | site_discovery                | permanent   | btree         | 16 kB      | 
 public | idx_test_instances_assigned_tester                              | index | postgres      | test_instances                | permanent   | btree         | 104 kB     | 
 public | idx_test_instances_page_id                                      | index | postgres      | test_instances                | permanent   | btree         | 120 kB     | 
 public | idx_test_instances_page_id_null                                 | index | postgres      | test_instances                | permanent   | btree         | 96 kB      | 
 public | idx_test_instances_project_id                                   | index | postgres      | test_instances                | permanent   | btree         | 104 kB     | 
 public | idx_test_instances_recommendations_search                       | index | postgres      | test_instances                | permanent   | gin           | 240 kB     | 
 public | idx_test_instances_requirement_id                               | index | postgres      | test_instances                | permanent   | btree         | 112 kB     | 
 public | idx_test_instances_result_gin                                   | index | postgres      | test_instances                | permanent   | gin           | 248 kB     | 
 public | idx_test_instances_results_search                               | index | postgres      | test_instances                | permanent   | gin           | 240 kB     | 
 public | idx_test_instances_session_id                                   | index | postgres      | test_instances                | permanent   | btree         | 152 kB     | 
 public | idx_test_instances_status                                       | index | postgres      | test_instances                | permanent   | btree         | 112 kB     | 
 public | idx_test_requirements_active                                    | index | postgres      | test_requirements             | permanent   | btree         | 16 kB      | 
 public | idx_test_requirements_type_level                                | index | postgres      | test_requirements             | permanent   | btree         | 16 kB      | 
 public | idx_test_result_instances_automated_result_id                   | index | postgres      | test_result_instances         | permanent   | btree         | 8192 bytes | 
 public | idx_test_result_instances_manual_result_id                      | index | postgres      | test_result_instances         | permanent   | btree         | 8192 bytes | 
 public | idx_test_result_instances_session_id                            | index | postgres      | test_result_instances         | permanent   | btree         | 8192 bytes | 
 public | idx_test_result_instances_test_type                             | index | postgres      | test_result_instances         | permanent   | btree         | 8192 bytes | 
 public | idx_test_sessions_approach                                      | index | postgres      | test_sessions                 | permanent   | btree         | 32 kB      | 
 public | idx_test_sessions_auth_config                                   | index | postgres      | test_sessions                 | permanent   | btree         | 32 kB      | 
 public | idx_test_sessions_auth_role                                     | index | postgres      | test_sessions                 | permanent   | btree         | 32 kB      | 
 public | idx_user_permissions_permission_type                            | index | postgres      | user_permissions              | permanent   | btree         | 16 kB      | 
 public | idx_user_permissions_resource                                   | index | postgres      | user_permissions              | permanent   | btree         | 16 kB      | 
 public | idx_user_permissions_user_id                                    | index | postgres      | user_permissions              | permanent   | btree         | 16 kB      | 
 public | idx_user_sessions_expires_at                                    | index | postgres      | user_sessions                 | permanent   | btree         | 16 kB      | 
 public | idx_user_sessions_is_active                                     | index | postgres      | user_sessions                 | permanent   | btree         | 16 kB      | 
 public | idx_user_sessions_token_hash                                    | index | postgres      | user_sessions                 | permanent   | btree         | 56 kB      | 
 public | idx_user_sessions_user_id                                       | index | postgres      | user_sessions                 | permanent   | btree         | 16 kB      | 
 public | idx_users_email                                                 | index | postgres      | users                         | permanent   | btree         | 16 kB      | 
 public | idx_users_is_active                                             | index | postgres      | users                         | permanent   | btree         | 16 kB      | 
 public | idx_users_role                                                  | index | postgres      | users                         | permanent   | btree         | 16 kB      | 
 public | idx_users_username                                              | index | postgres      | users                         | permanent   | btree         | 16 kB      | 
 public | idx_violations_automated_result                                 | index | johnhoinville | violations                    | permanent   | btree         | 40 kB      | 
 public | idx_violations_manual_result                                    | index | johnhoinville | violations                    | permanent   | btree         | 32 kB      | 
 public | idx_violations_severity                                         | index | johnhoinville | violations                    | permanent   | btree         | 32 kB      | 
 public | idx_vpat_reports_session_id                                     | index | johnhoinville | vpat_reports                  | permanent   | btree         | 8192 bytes | 
 public | idx_vpat_reports_type                                           | index | johnhoinville | vpat_reports                  | permanent   | btree         | 8192 bytes | 
 public | idx_wcag_requirements_criterion                                 | index | johnhoinville | wcag_requirements             | permanent   | btree         | 16 kB      | 
 public | idx_wcag_requirements_level                                     | index | johnhoinville | wcag_requirements             | permanent   | btree         | 16 kB      | 
 public | idx_wcag_requirements_test_method                               | index | johnhoinville | wcag_requirements             | permanent   | btree         | 16 kB      | 
 public | idx_wcag_requirements_version_level                             | index | johnhoinville | wcag_requirements             | permanent   | btree         | 16 kB      | 
 public | idx_web_crawlers_project_id                                     | index | johnhoinville | web_crawlers                  | permanent   | btree         | 16 kB      | 
 public | idx_web_crawlers_status                                         | index | johnhoinville | web_crawlers                  | permanent   | btree         | 16 kB      | 
 public | idx_workflow_audit_log_action                                   | index | postgres      | workflow_audit_log            | permanent   | btree         | 8192 bytes | 
 public | idx_workflow_audit_log_session                                  | index | postgres      | workflow_audit_log            | permanent   | btree         | 8192 bytes | 
 public | idx_workflow_audit_log_task                                     | index | postgres      | workflow_audit_log            | permanent   | btree         | 8192 bytes | 
 public | idx_workflow_audit_log_user                                     | index | postgres      | workflow_audit_log            | permanent   | btree         | 8192 bytes | 
 public | idx_workflow_configuration_global                               | index | postgres      | workflow_configuration        | permanent   | btree         | 16 kB      | 
 public | idx_workflow_configuration_session                              | index | postgres      | workflow_configuration        | permanent   | btree         | 8192 bytes | 
 public | idx_workflow_notifications_created                              | index | postgres      | workflow_notifications        | permanent   | btree         | 8192 bytes | 
 public | idx_workflow_notifications_recipient                            | index | postgres      | workflow_notifications        | permanent   | btree         | 8192 bytes | 
 public | idx_workflow_notifications_session                              | index | postgres      | workflow_notifications        | permanent   | btree         | 8192 bytes | 
 public | idx_workflow_notifications_type                                 | index | postgres      | workflow_notifications        | permanent   | btree         | 8192 bytes | 
 public | manual_test_evidence_pkey                                       | index | johnhoinville | manual_test_evidence          | permanent   | btree         | 8192 bytes | 
 public | manual_test_results_pkey                                        | index | johnhoinville | manual_test_results           | permanent   | btree         | 8192 bytes | 
 public | manual_workflow_tasks_pkey                                      | index | postgres      | manual_workflow_tasks         | permanent   | btree         | 8192 bytes | 
 public | project_roles_pkey                                              | index | postgres      | project_roles                 | permanent   | btree         | 16 kB      | 
 public | project_roles_project_id_role_name_key                          | index | postgres      | project_roles                 | permanent   | btree         | 16 kB      | 
 public | projects_pkey                                                   | index | johnhoinville | projects                      | permanent   | btree         | 16 kB      | 
 public | requirement_status_overrides_pkey                               | index | johnhoinville | requirement_status_overrides  | permanent   | btree         | 8192 bytes | 
 public | section_508_requirements_pkey                                   | index | johnhoinville | section_508_requirements      | permanent   | btree         | 16 kB      | 
 public | section_508_requirements_section_number_key                     | index | johnhoinville | section_508_requirements      | permanent   | btree         | 16 kB      | 
 public | site_discovery_pkey                                             | index | johnhoinville | site_discovery                | permanent   | btree         | 16 kB      | 
 public | test_audit_log_pkey                                             | index | postgres      | test_audit_log                | permanent   | btree         | 56 kB      | 
 public | test_evidence_pkey                                              | index | johnhoinville | test_evidence                 | permanent   | btree         | 8192 bytes | 
 public | test_instance_audit_log_pkey                                    | index | johnhoinville | test_instance_audit_log       | permanent   | btree         | 48 kB      | 
 public | test_instances_pkey                                             | index | postgres      | test_instances                | permanent   | btree         | 392 kB     | 
 public | test_instances_session_id_requirement_id_page_id_key            | index | postgres      | test_instances                | permanent   | btree         | 800 kB     | 
 public | test_instances_session_requirement_page_unique                  | index | postgres      | test_instances                | permanent   | btree         | 800 kB     | 
 public | test_requirements_pkey                                          | index | postgres      | test_requirements             | permanent   | btree         | 16 kB      | 
 public | test_requirements_requirement_type_criterion_number_key         | index | postgres      | test_requirements             | permanent   | btree         | 16 kB      | 
 public | test_result_instances_pkey                                      | index | postgres      | test_result_instances         | permanent   | btree         | 8192 bytes | 
 public | test_sessions_pkey                                              | index | postgres      | test_sessions                 | permanent   | btree         | 40 kB      | 
 public | unique_crawler_name_per_project                                 | index | johnhoinville | web_crawlers                  | permanent   | btree         | 16 kB      | 
 public | unique_session_per_crawler                                      | index | johnhoinville | crawler_auth_sessions         | permanent   | btree         | 16 kB      | 
 public | unique_url_per_run                                              | index | johnhoinville | crawler_discovered_pages      | permanent   | btree         | 1192 kB    | 
 public | user_permissions_pkey                                           | index | postgres      | user_permissions              | permanent   | btree         | 16 kB      | 
 public | user_permissions_user_id_permission_type_resource_type_reso_key | index | postgres      | user_permissions              | permanent   | btree         | 16 kB      | 
 public | user_sessions_pkey                                              | index | postgres      | user_sessions                 | permanent   | btree         | 40 kB      | 
 public | users_email_key                                                 | index | postgres      | users                         | permanent   | btree         | 16 kB      | 
 public | users_pkey                                                      | index | postgres      | users                         | permanent   | btree         | 16 kB      | 
 public | users_username_key                                              | index | postgres      | users                         | permanent   | btree         | 16 kB      | 
 public | violations_pkey                                                 | index | johnhoinville | violations                    | permanent   | btree         | 80 kB      | 
 public | vpat_reports_pkey                                               | index | johnhoinville | vpat_reports                  | permanent   | btree         | 8192 bytes | 
 public | wcag_requirements_pkey                                          | index | johnhoinville | wcag_requirements             | permanent   | btree         | 16 kB      | 
 public | wcag_requirements_wcag_version_criterion_number_key             | index | johnhoinville | wcag_requirements             | permanent   | btree         | 16 kB      | 
 public | web_crawlers_pkey                                               | index | johnhoinville | web_crawlers                  | permanent   | btree         | 16 kB      | 
 public | workflow_audit_log_pkey                                         | index | postgres      | workflow_audit_log            | permanent   | btree         | 8192 bytes | 
 public | workflow_configuration_pkey                                     | index | postgres      | workflow_configuration        | permanent   | btree         | 16 kB      | 
 public | workflow_configuration_session_id_key                           | index | postgres      | workflow_configuration        | permanent   | btree         | 16 kB      | 
 public | workflow_metrics_pkey                                           | index | postgres      | workflow_metrics              | permanent   | btree         | 8192 bytes | 
 public | workflow_metrics_session_id_metric_date_key                     | index | postgres      | workflow_metrics              | permanent   | btree         | 8192 bytes | 
 public | workflow_notifications_pkey                                     | index | postgres      | workflow_notifications        | permanent   | btree         | 8192 bytes | 
 public | workflow_task_dependencies_pkey                                 | index | postgres      | workflow_task_dependencies    | permanent   | btree         | 8192 bytes | 
 public | workflow_task_dependencies_task_id_depends_on_task_id_key       | index | postgres      | workflow_task_dependencies    | permanent   | btree         | 8192 bytes | 
(209 rows)

